Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,1,Not Graduate,Yes,96253,11138,461659,300,1,Urban,Y
Male,No,0,Not Graduate,Yes,61092,15935,459740,180,1,Semiurban,Y
Female,No,3+,Not Graduate,No,78671,45913,428621,300,0,Rural,N
Female,No,0,Not Graduate,No,25350,489,78202,300,1,Urban,Y
Female,No,1,Not Graduate,No,83487,44516,489358,360,0,Rural,N
Female,Yes,3+,Not Graduate,Yes,32622,22260,898124,120,1,Semiurban,Y
Female,No,1,Graduate,Yes,85263,26069,787744,300,0,Rural,N
Female,Yes,1,Not Graduate,Yes,68117,19275,70855,120,1,Rural,Y
Female,No,2,Graduate,No,73394,36284,526963,360,1,Rural,Y
Female,No,2,Not Graduate,Yes,38782,39178,765732,120,1,Semiurban,Y
Female,No,1,Not Graduate,Yes,43454,32821,861527,180,1,Urban,Y
Female,No,1,Graduate,No,82904,16999,361385,300,1,Rural,Y
Female,No,1,Not Graduate,No,30592,38712,677407,120,1,Urban,Y
Male,Yes,2,Graduate,No,37173,40172,626291,240,1,Semiurban,Y
Male,Yes,2,Graduate,No,48204,33722,511595,120,1,Urban,Y
Female,No,0,Graduate,No,50596,10625,144837,300,0,Rural,Y
Female,No,0,Graduate,Yes,49324,1629,273068,360,1,Rural,Y
Female,Yes,1,Not Graduate,No,76202,10973,406427,360,1,Rural,Y
Female,No,3+,Not Graduate,Yes,45750,6859,983476,300,1,Rural,Y
Female,No,3+,Graduate,Yes,91112,41609,173805,180,1,Rural,Y
Female,Yes,2,Not Graduate,No,31566,43307,930278,180,0,Rural,N
Female,No,2,Not Graduate,No,22190,45450,859359,360,1,Semiurban,Y
Female,No,2,Graduate,No,53333,36046,957021,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,95905,21839,165657,300,1,Semiurban,Y
Female,Yes,3+,Graduate,No,16589,27216,903062,180,1,Urban,Y
Male,Yes,0,Graduate,No,40235,18945,154428,360,1,Urban,Y
Female,No,1,Not Graduate,No,15159,6539,172035,180,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,27145,49522,495563,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,95909,33625,280780,120,1,Urban,Y
Female,Yes,1,Graduate,Yes,46921,4886,962676,240,0,Rural,N
Male,Yes,0,Graduate,Yes,31237,45713,791570,120,1,Rural,Y
Female,Yes,3+,Not Graduate,Yes,23244,7485,119518,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,29743,31455,226355,240,1,Urban,Y
Male,No,3+,Not Graduate,No,61101,46448,917758,240,0,Semiurban,N
Female,No,3+,Not Graduate,No,99227,16767,717565,360,1,Urban,Y
Male,Yes,3+,Graduate,Yes,71378,47165,170243,360,1,Rural,Y
Female,Yes,2,Not Graduate,No,86126,28453,849180,180,1,Urban,Y
Male,Yes,0,Graduate,No,71071,10744,988601,360,1,Semiurban,Y
Male,No,1,Graduate,No,86121,37102,446308,300,1,Rural,Y
Female,No,1,Not Graduate,Yes,89763,12226,103311,360,1,Rural,Y
Female,No,0,Not Graduate,No,27237,27869,72692,300,1,Rural,Y
Male,No,2,Not Graduate,Yes,30649,22588,699242,360,1,Rural,Y
Female,No,2,Graduate,No,52713,13440,729222,180,1,Urban,Y
Female,No,3+,Not Graduate,Yes,88463,31709,442179,300,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,60409,47788,271468,120,0,Urban,N
Male,No,0,Graduate,Yes,63766,22495,391651,300,1,Urban,Y
Male,No,1,Not Graduate,No,61154,37019,130152,180,0,Rural,N
Male,Yes,0,Graduate,No,22016,44948,513685,300,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,94563,48908,579214,360,0,Rural,N
Male,Yes,0,Graduate,Yes,63688,922,53969,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,69238,27526,85733,180,0,Urban,N
Male,No,3+,Not Graduate,No,73608,7957,381999,240,1,Rural,Y
Male,No,1,Graduate,Yes,46897,48564,91743,360,1,Urban,Y
Male,Yes,1,Graduate,No,65961,33998,704481,120,0,Urban,N
Female,No,3+,Not Graduate,No,83703,43395,220948,180,1,Rural,Y
Male,Yes,1,Graduate,No,59757,24031,943877,300,1,Urban,Y
Female,No,1,Graduate,No,41917,10006,70323,300,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,37736,37701,573293,120,1,Rural,Y
Female,No,0,Graduate,No,42990,47063,328572,360,1,Semiurban,Y
Male,No,3+,Not Graduate,No,77551,25939,608866,180,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,73161,49145,660774,120,1,Urban,Y
Male,No,0,Graduate,Yes,94623,20324,551793,360,0,Rural,Y
Male,Yes,1,Graduate,No,37440,22867,376284,180,1,Urban,Y
Female,Yes,2,Graduate,No,50205,203,831738,300,1,Rural,Y
Male,Yes,0,Graduate,No,95811,16544,681613,180,1,Rural,Y
Male,Yes,2,Not Graduate,No,70103,15899,920261,240,0,Rural,N
Male,No,0,Not Graduate,Yes,85812,29063,318508,180,1,Rural,Y
Male,No,0,Graduate,Yes,56627,25344,441011,240,1,Rural,Y
Male,No,3+,Graduate,Yes,34008,3748,478565,180,1,Semiurban,Y
Female,Yes,3+,Graduate,No,86274,39486,706051,240,1,Rural,Y
Male,No,3+,Not Graduate,No,47402,1093,832259,300,1,Semiurban,Y
Female,Yes,2,Graduate,No,68384,15228,669886,360,1,Urban,Y
Male,No,1,Not Graduate,No,20793,20884,771827,240,1,Rural,Y
Female,No,0,Graduate,Yes,20571,25183,226968,240,1,Urban,Y
Male,No,0,Not Graduate,Yes,31209,16034,107062,300,1,Rural,Y
Male,Yes,0,Graduate,No,58148,5710,278338,240,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,17224,42500,785122,120,0,Semiurban,N
Female,No,3+,Graduate,No,63695,19259,719221,300,0,Semiurban,N
Female,Yes,1,Graduate,No,47441,35959,277909,120,1,Urban,Y
Male,No,2,Graduate,Yes,54129,33457,556995,300,1,Rural,Y
Female,Yes,3+,Not Graduate,No,77368,20143,138302,240,1,Urban,Y
Male,No,2,Graduate,No,59760,2103,638216,120,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,38478,365,788591,240,0,Urban,N
Female,Yes,3+,Not Graduate,No,86854,46778,615635,300,1,Semiurban,Y
Female,No,2,Graduate,No,27180,44535,577409,240,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,30372,16103,133793,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,44796,32510,602452,120,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,73272,24476,337635,240,0,Rural,N
Female,Yes,0,Graduate,No,69040,12742,633510,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,Yes,90357,12391,728525,300,0,Urban,N
Male,Yes,3+,Not Graduate,Yes,86368,36940,578036,300,1,Urban,Y
Male,No,3+,Graduate,Yes,93356,28901,600841,240,1,Rural,Y
Male,Yes,2,Graduate,No,31211,32001,166547,180,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,20842,15623,634668,120,1,Urban,Y
Male,No,3+,Graduate,Yes,78115,2378,94331,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,81852,21372,801393,360,1,Urban,Y
Female,No,2,Graduate,Yes,60968,44799,694905,240,1,Rural,Y
Male,No,1,Not Graduate,Yes,32508,38437,875992,180,1,Semiurban,Y
Male,No,0,Not Graduate,No,37005,35503,890297,180,1,Semiurban,Y
Male,No,2,Not Graduate,No,69575,30746,650198,300,0,Urban,N
Female,No,0,Graduate,No,95742,27923,447891,120,1,Urban,Y
Male,Yes,1,Not Graduate,No,33971,9867,550201,180,0,Urban,N
Male,Yes,1,Not Graduate,No,40599,41258,552237,360,1,Semiurban,Y
Female,No,2,Not Graduate,No,81914,33724,914418,120,1,Rural,Y
Male,Yes,1,Not Graduate,No,82055,9306,781576,120,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,20355,39391,60068,240,1,Urban,Y
Male,Yes,1,Graduate,No,69120,14908,628748,180,1,Rural,Y
Male,No,0,Graduate,Yes,89619,27081,937198,240,1,Urban,Y
Male,No,0,Not Graduate,Yes,53342,37228,620706,180,1,Rural,Y
Female,Yes,1,Not Graduate,No,93860,23386,338350,300,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,17257,46754,702468,240,1,Urban,Y
Female,Yes,3+,Graduate,Yes,42364,45406,836719,240,1,Rural,Y
Male,Yes,1,Graduate,Yes,39972,28302,72337,360,0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,41654,19212,201738,240,1,Rural,Y
Male,Yes,0,Graduate,No,95769,35618,297667,180,1,Semiurban,Y
Female,No,1,Graduate,No,96423,46067,706521,360,1,Semiurban,Y
Male,No,2,Not Graduate,No,44320,10698,564241,240,1,Rural,Y
Male,No,2,Graduate,No,35808,4594,937099,240,1,Rural,Y
Female,Yes,0,Graduate,No,67389,25525,402215,300,0,Semiurban,Y
Male,No,0,Not Graduate,No,49773,14282,148064,240,0,Semiurban,N
Female,Yes,2,Graduate,No,66168,49053,418655,120,1,Semiurban,Y
Female,No,3+,Graduate,No,42747,14334,532605,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,91396,29179,457974,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,98692,6644,508996,360,1,Urban,Y
Male,Yes,0,Graduate,Yes,72505,35618,820974,300,1,Semiurban,Y
Male,No,2,Not Graduate,No,33135,47701,577466,240,1,Urban,Y
Male,No,1,Not Graduate,Yes,62377,32933,606119,240,0,Semiurban,N
Male,No,2,Not Graduate,Yes,38554,43469,183248,240,1,Semiurban,Y
Male,No,1,Graduate,Yes,77491,33687,153306,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,70621,41073,214726,240,1,Rural,Y
Female,No,1,Graduate,No,73283,17375,828580,120,1,Rural,Y
Male,No,0,Not Graduate,Yes,31923,48483,994131,240,1,Semiurban,Y
Female,Yes,3+,Graduate,No,62591,30926,757910,300,1,Urban,Y
Male,Yes,2,Not Graduate,No,77261,36607,424169,120,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,69336,17642,750270,240,0,Semiurban,N
Male,No,2,Not Graduate,No,89083,23993,140417,240,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,75948,44386,763611,180,1,Urban,Y
Female,Yes,0,Graduate,Yes,48002,46287,478638,360,1,Rural,Y
Female,Yes,3+,Not Graduate,No,95098,21188,61984,120,0,Urban,N
Female,No,0,Not Graduate,No,88016,32596,139312,180,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,41672,27772,242458,300,0,Rural,Y
Female,No,0,Not Graduate,No,19213,30857,133291,360,1,Urban,Y
Male,No,0,Graduate,No,25293,10776,843567,120,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,70860,32835,574608,240,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,77507,9788,537387,120,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,72134,5660,727044,240,1,Rural,Y
Female,Yes,1,Graduate,No,17100,4478,925206,360,1,Rural,Y
Female,Yes,2,Not Graduate,No,76997,8210,465105,240,1,Semiurban,Y
Female,No,0,Not Graduate,No,43172,10922,801209,300,1,Rural,Y
Female,No,3+,Not Graduate,No,35132,36289,410215,240,1,Urban,Y
Female,Yes,2,Graduate,No,33199,33340,754259,300,1,Semiurban,Y
Female,No,2,Graduate,Yes,51609,39850,305083,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,57965,38163,978274,360,0,Rural,N
Female,Yes,0,Graduate,Yes,23016,48175,684151,120,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,54779,18642,91777,300,1,Urban,Y
Male,No,2,Not Graduate,Yes,46881,11094,96250,300,1,Rural,Y
Female,Yes,0,Not Graduate,No,97594,22423,909466,180,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,39472,33418,941372,180,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,66813,5741,352274,180,1,Semiurban,Y
Female,No,1,Not Graduate,Yes,51021,46049,525147,240,0,Semiurban,N
Male,No,0,Not Graduate,Yes,69131,6838,754706,180,1,Rural,Y
Male,No,2,Graduate,Yes,39087,3262,970041,300,1,Semiurban,Y
Male,No,3+,Graduate,Yes,27828,4996,790122,240,1,Urban,Y
Male,No,0,Graduate,Yes,76610,44594,65216,360,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,16401,22164,396293,120,1,Semiurban,Y
Male,No,2,Graduate,No,30193,35595,577297,180,1,Rural,Y
Female,No,2,Graduate,Yes,59864,30257,926336,360,1,Semiurban,Y
Male,No,1,Graduate,No,35307,14211,734687,300,0,Rural,N
Male,Yes,3+,Not Graduate,No,34611,30453,195281,120,1,Semiurban,Y
Male,No,3+,Not Graduate,No,58791,5232,753803,360,1,Urban,Y
Male,No,2,Not Graduate,No,26950,2217,589317,120,1,Urban,Y
Female,Yes,1,Not Graduate,No,91240,24229,510829,180,1,Rural,Y
Female,No,3+,Graduate,Yes,92403,14232,784803,300,1,Rural,Y
Male,Yes,2,Graduate,Yes,17745,25613,238069,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,70243,14026,414315,360,1,Semiurban,Y
Female,Yes,3+,Not Graduate,No,18866,28554,164456,180,0,Urban,N
Male,Yes,1,Graduate,Yes,47245,30908,374703,180,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,59724,19610,901324,360,1,Urban,Y
Male,No,1,Not Graduate,Yes,86354,46646,906841,360,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,66374,39605,976139,120,1,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,45116,7031,869497,240,1,Rural,Y
Female,No,3+,Graduate,No,96029,47574,816759,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,35447,25515,432688,120,1,Urban,Y
Male,No,3+,Not Graduate,No,45431,36484,419484,360,0,Rural,N
Female,No,0,Graduate,No,32908,36182,83783,120,1,Rural,Y
Female,No,0,Graduate,No,44336,570,84152,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,55992,32254,633029,300,1,Rural,Y
Female,Yes,1,Graduate,No,70350,19288,943481,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,84561,13288,494718,360,1,Rural,Y
Female,No,0,Not Graduate,Yes,66955,29877,603380,360,1,Rural,Y
Male,Yes,3+,Graduate,Yes,76240,18889,198725,240,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,35093,917,541215,360,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,21155,10066,804924,180,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,61607,29504,221541,180,1,Semiurban,Y
Female,No,1,Not Graduate,No,48487,6982,828424,120,1,Rural,Y
Female,Yes,2,Graduate,No,70668,39104,398627,240,1,Urban,Y
Female,Yes,3+,Graduate,No,35963,18062,958017,120,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,65124,16999,371898,180,1,Rural,Y
Female,Yes,1,Graduate,Yes,67870,9941,735338,180,1,Semiurban,Y
Male,No,3+,Not Graduate,No,71547,23470,137592,300,0,Urban,N
Male,No,2,Not Graduate,No,79110,45148,406687,360,1,Urban,Y
Male,No,0,Not Graduate,Yes,68554,21133,93169,180,1,Semiurban,Y
Male,No,0,Not Graduate,Yes,35936,44435,491503,120,1,Urban,Y
Female,Yes,0,Not Graduate,No,19426,4529,104745,120,0,Rural,N
Male,Yes,1,Graduate,Yes,42606,17519,684456,360,0,Rural,N
Male,Yes,3+,Not Graduate,No,62832,12192,688273,360,1,Semiurban,Y
Male,No,2,Graduate,No,43151,8566,841975,300,1,Urban,Y
Female,Yes,3+,Graduate,Yes,94303,7226,761752,240,1,Rural,Y
Female,No,3+,Not Graduate,Yes,26308,37930,71067,120,1,Rural,Y
Female,No,3+,Not Graduate,No,77522,49358,101033,360,1,Rural,Y
Female,Yes,0,Not Graduate,No,60671,21259,95256,120,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,17204,34087,795993,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,46131,1141,289455,180,1,Rural,Y
Female,No,3+,Graduate,No,67428,4627,552264,120,1,Rural,Y
Male,Yes,0,Not Graduate,No,48870,47269,250417,180,0,Urban,N
Male,No,0,Not Graduate,No,64067,2690,989695,120,0,Urban,N
Male,Yes,2,Graduate,No,73585,40091,136803,240,1,Urban,Y
Female,No,0,Graduate,No,36607,3255,253814,300,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,39968,5213,168843,180,1,Rural,Y
Male,Yes,0,Graduate,No,26908,36876,529809,360,1,Semiurban,Y
Female,No,1,Not Graduate,No,41423,19404,603280,240,1,Rural,Y
Female,No,3+,Graduate,No,89707,25380,262603,120,1,Urban,Y
Female,Yes,2,Graduate,No,93257,25520,623091,180,1,Urban,Y
Female,No,2,Not Graduate,Yes,76215,19173,422119,120,1,Urban,Y
Female,Yes,1,Graduate,Yes,70835,23989,768837,120,1,Urban,Y
Male,No,3+,Graduate,Yes,64429,42570,194282,120,1,Rural,Y
Female,Yes,2,Graduate,No,97152,24519,526545,300,1,Urban,Y
Male,Yes,0,Graduate,No,53458,22439,76270,300,1,Rural,Y
Male,No,2,Graduate,Yes,61169,11413,505224,360,1,Rural,Y
Female,No,0,Graduate,Yes,22659,14995,972701,180,1,Semiurban,Y
Male,No,1,Not Graduate,Yes,75614,23559,819217,240,1,Urban,Y
Male,No,0,Not Graduate,No,92240,45351,581740,240,1,Urban,Y
Male,No,2,Graduate,No,47793,23513,353630,240,1,Semiurban,Y
Female,Yes,2,Not Graduate,Yes,61473,5021,64859,120,0,Rural,N
Female,No,2,Not Graduate,Yes,70751,32464,994740,300,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,93915,21119,999403,180,1,Rural,Y
Female,Yes,1,Graduate,No,69254,29299,606371,120,0,Semiurban,N
Female,No,3+,Not Graduate,No,22006,39350,904140,300,0,Rural,N
Female,Yes,2,Graduate,No,89218,46223,161462,300,0,Urban,Y
Female,Yes,0,Not Graduate,Yes,80344,25517,197735,180,1,Rural,Y
Male,Yes,1,Graduate,Yes,48840,13117,929508,180,1,Rural,Y
Male,Yes,2,Graduate,No,47430,22250,299737,180,1,Urban,Y
Female,No,2,Not Graduate,Yes,38091,18950,331197,120,1,Urban,Y
Female,Yes,1,Not Graduate,No,47983,17359,192157,360,1,Rural,Y
Male,No,3+,Graduate,Yes,38989,23596,998068,180,1,Rural,Y
Male,No,1,Not Graduate,Yes,90451,25530,401889,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,33990,1262,240167,120,1,Urban,Y
Male,No,0,Not Graduate,Yes,95360,40150,643805,360,0,Rural,N
Female,No,0,Graduate,No,51081,22615,726513,240,1,Urban,Y
Female,No,3+,Graduate,Yes,26033,3327,186319,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,31241,29768,978057,180,1,Rural,Y
Male,No,1,Not Graduate,No,20939,28850,464027,120,1,Rural,Y
Female,No,3+,Not Graduate,No,62562,42788,276453,180,1,Rural,Y
Female,No,0,Graduate,Yes,50063,16848,973639,240,1,Urban,Y
Male,Yes,1,Graduate,No,91721,46830,186645,180,1,Semiurban,Y
Female,No,2,Not Graduate,No,42045,39542,562035,180,0,Urban,N
Male,Yes,0,Not Graduate,No,59769,15160,653555,180,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,62118,33998,188261,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,99703,27230,392221,240,1,Rural,Y
Male,Yes,3+,Not Graduate,No,36625,9076,486862,180,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,42076,3805,388767,180,1,Urban,Y
Female,Yes,1,Graduate,No,79805,31085,181004,180,1,Rural,Y
Female,No,3+,Not Graduate,No,59605,14715,555187,120,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,99565,5750,103687,300,1,Rural,Y
Female,No,3+,Not Graduate,No,54121,48395,904744,120,1,Rural,Y
Male,No,0,Not Graduate,Yes,80101,13232,157615,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,46433,35903,443120,180,1,Semiurban,Y
Female,No,3+,Graduate,No,58309,6953,601852,240,1,Urban,Y
Female,No,1,Graduate,Yes,82468,32093,865267,360,1,Rural,Y
Male,No,2,Graduate,Yes,59254,25500,581985,360,1,Urban,Y
Female,No,1,Not Graduate,No,82293,22418,654453,180,0,Urban,N
Female,Yes,2,Graduate,No,52853,34314,779282,120,1,Urban,Y
Male,No,1,Not Graduate,Yes,53405,48225,984550,240,0,Urban,N
Male,Yes,0,Graduate,Yes,81652,22449,632111,300,1,Rural,Y
Female,No,3+,Not Graduate,No,58527,17478,583903,180,1,Rural,Y
Male,No,1,Not Graduate,Yes,92227,35179,556554,240,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,15492,46881,972564,240,1,Urban,Y
Female,No,3+,Not Graduate,Yes,23811,25338,966931,300,1,Urban,Y
Male,No,3+,Not Graduate,Yes,39272,26899,650724,240,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,87010,4145,765879,120,1,Urban,Y
